article_id,author,category,is_read,link,pub_date,title
AKR20260523021700030,"김세린",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260523021700030,1779573603000,"개농장 82% 폐업 이면의 그늘…'소유권'에 막힌 구조 사각지대"
AKR20260523049900003,"서미숙",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260523049900003,1779572220000,"HUG 올해 보증사고 채권회수액, 대위변제 앞질러…'골든크로스'"
AKR20260523039100003,"오진송",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260523039100003,1779571860000,"'3기 신도시 최대' 광명시흥 16년만 보상평가 완료…내년 착공"
AKR20260522155700030,"이상서",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260522155700030,1779570780000,"정부, 스타벅스 과거 '총리 표창' 취소 검토…""수시 취소 가능"""
AKR20260522143300530,"옥성구",SOCIETY,0,https://www.yna.co.kr/view/AKR20260522143300530,1779570300000,"처벌 없는 과로사…지난 3년 산재승인 663건에도 기소는 '0건'"
AKR20260523017700002,"임지우",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260523017700002,1779570067000,"반도체 호황에…한은 올해 성장 전망 2.0%→2.5∼2.6%로 높일 듯"
AKR20260523045100003,"김보경",ECONOMY,0,https://www.yna.co.kr/view/AKR20260523045100003,1779570065000,"[미국발 고금리] 유가·환율까지 3高에 기업들 비명…양극화 심화 우려도"
AKR20260523041900002,"배영경",ECONOMY,0,https://www.yna.co.kr/view/AKR20260523041900002,1779570064000,"[미국발 고금리] '영끌 가계·한계기업 어쩌나'…금융부담 확대 우려"
AKR20260523037900008,"고은지",ECONOMY,0,https://www.yna.co.kr/view/AKR20260523037900008,1779570064000,"[미국발 고금리] 불안한 '빚투'…질주하는 코스피 '뇌관' 되나"
AKR20260523041400002,"한지훈",ECONOMY,0,https://www.yna.co.kr/view/AKR20260523041400002,1779570063000,"[미국발 고금리] 한은 '매파적' 동결 유력…연내 인상 신호 주목"
AKR20260523049300009,"황정우",ECONOMY,0,https://www.yna.co.kr/view/AKR20260523049300009,1779570062000,"[미국발 고금리] 30년물 국채 연 5.2% 터치…연준 금리인상 전망 확산"
AKR20260522149400002,"박수현",SOCIETY,0,https://www.yna.co.kr/view/AKR20260522149400002,1779569823000,"[코인 사기 덫②] ""상장하면 최소 100배"" 선릉역 찾는 노인들"
AKR20260523039000002,"김지연",ECONOMY,0,https://www.yna.co.kr/view/AKR20260523039000002,1779569700000,"외국인도 국장 ETF 직거래…세제 문제 풀고 제도정비 속도낸다"
AKR20260523037200002,"이대희",ECONOMY,0,https://www.yna.co.kr/view/AKR20260523037200002,1779569581000,"'고용 사다리' 올라탄 30대…첫걸음 못 딛는 청년층"
AKR20260523042300002,"송정은",ECONOMY,0,https://www.yna.co.kr/view/AKR20260523042300002,1779569581000,"실업자 줄었지만 '장기백수'는 38%↑…코로나19 사태 후 최대"
AKR20260523040600002,"배영경",ECONOMY,0,https://www.yna.co.kr/view/AKR20260523040600002,1779569461000,"국민성장펀드 형제격 BDC, 출시 1건 그쳐…세제혜택 하반기 시동"
AKR20260523040800002,"강수련",ECONOMY,0,https://www.yna.co.kr/view/AKR20260523040800002,1779569460000,"국민성장펀드 '서민 목돈'도 몰려…하반기 추가공급 검토 착수"
AKR20260523045800002,"안채원",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260523045800002,1779569342000,"삼전·닉스 등 '톱5' 수출 비중 44%…전체 증가분의 83% 차지"
AKR20260523049100002,"이세원",SOCIETY,0,https://www.yna.co.kr/view/AKR20260523049100002,1779569341000,"942만원 vs 176만원…반도체 호황 속 벌어지는 임금 격차"
AKR20260523041100002,"강류나",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260523041100002,1779569220000,"'환불요구' 스벅 선불충전금…4천200억원 넘어도 규제 사각지대"
AKR20260523050700002,"한지훈",ECONOMY,0,https://www.yna.co.kr/view/AKR20260523050700002,1779569100000,"은행 주담대 고정금리 하단 5% 넘는다…3년 7개월 만에 최고"
AKR20260523033051004,"유한주",SOCIETY,0,https://www.yna.co.kr/view/AKR20260523033051004,1779529268000,"진보단체들, 스타벅스 규탄 집회 ""기업 퇴출로 책임 물어야""(종합)"
AKR20260523040700003,"오진송",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260523040700003,1779523470000,"삼성물산 압구정4구역 시공권 확보…'2.1조' 초대형 재건축 수주"
AKR20260523037500060,"최재훈",SOCIETY,0,https://www.yna.co.kr/view/AKR20260523037500060,1779519788000,"남양주 철마산서 외국인 추정 여성 실종 신고…이틀째 수색"
AKR20260523033000004,"양수연",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260523033000004,1779516452000,"진보 대학생단체, 스타벅스 앞 규탄 회견…""역사모독 응징해야"""
AKR20260523026900073,"조성미",ECONOMY,0,https://www.yna.co.kr/view/AKR20260523026900073,1779504373000,"글로벌 PF 대출 5년새 2배·'100조엔 돌파…'큰손'은 日메가뱅크"
AKR20260523023500530,"차민지",ECONOMY,0,https://www.yna.co.kr/view/AKR20260523023500530,1779501601000,"2차 고유가지원금 신청률, 닷새 만에 76%…1·2차 누적 5조 지급"
AKR20260523022300011,"성재은",ECONOMY,0,https://www.yna.co.kr/view/AKR20260523022300011,1779499800000,"[연합뉴스 이 시각 헤드라인] - 10:30"
AKR20260522136900008,"고은지",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522136900008,1779494401000,"[IPO챗] 조용한 5월 마지막 주…청약 1곳·수요예측 1곳"
AKR20260523012200002,"이세원",ECONOMY,0,https://www.yna.co.kr/view/AKR20260523012200002,1779493030000,"[다음주 경제] 한은 기준금리 결정…성장률 전망 오르나"
AKR20260521142400051,"민영규",ECONOMY,0,https://www.yna.co.kr/view/AKR20260521142400051,1779490810000,"부산 아파트값 보합세…해운대·동래구는 약진"
AKR20260522133700051,"박성제",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260522133700051,1779490806000,"[해수분해] 글로벌 공급망 중심 항만…해외투자로 세계 물류길 넓힌다"
AKR20260522144500008,"고은지",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522144500008,1779490801000,"[머니플로우] 반대매매에 '움찔'…투자자예탁금 감소세 지속"
